PRIORITY,ENABLED,SRC TYPE,SRC GRP,INCLUSION(SRC GRP),SRC,SRC ADDR,UID,TYPE,USER NAME,DEPARTMEMT,AUTH SVR,DST TYPE,DST GRP,INCLUSION(DST GRP),DST,DST ADDR,FQDN,Count,Sub Domain,Auto Collection,SVC GRP,INCLUSION(SVC GRP),SVC,SVC SPEC,SCHEDULE,SCHEDULE SPEC,ACTION,LOGGING,LOG ID,DALIY HIT COUNT,WEEKLY HIT COUNT,MONTHLY HIT COUNT,2MONTHLY HIT COUNT,QUARTERLY HIT COUNT,PROXY ENABLED,PROXY TYPE,PROXY USER,TRANSPARENT PROXY ENABLED,QoS,QoS SPEC,SESSION LIMIT ACTION,SESSION LIMIT,DESC,REVERSIBLE,LOGGID,IPS USE,IPS PROFILE,APPCTL USE,APPCTL PROFILE,WEBFILTER USE,WEBFILTER PROFILE,ANTI-MALSITE USE,ANTI-MALSITE PROFILE,CNC USE,CNC PROFILE,FILE COLLECT USE,ANTI-VIRUS USE,ANTI-VIRUS PROFILE,MOD TIME,DLP USE,DLP PROFILE,UNUSED USE,UNUSED DAY,STREAM USE,SPAMFILTER USE,SPAMFILTER PROFILE,TIMEOUT USE,TIMEOUT,POLICY ID
9,Yes,ADDR,,,EXT_ALL,0.0.0.0/0,,,,,,ADDR,,,DDNAS_192.168.0.250,192.168.0.250/32,,,,,,,FTP,tcp 1-65535 21-21,always,1 00:00-24:00 0 0 0 0 0 0 ,Allow,Yes,NAS_svc,62,7496,43031,118344,258340,No,,,No,,,0,1500,,No,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,19
,,,,,,,,,,,,ADDR,,,DDNAS_EX_61.40.8.26,61.40.8.26/32,,,,,,,FTP-data,tcp 1-65535 20-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,HTTP,tcp 1-65535 80-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Yes,ADDR,,,VPN,172.16.0.0/24,,,,,,ADDR,,,DDERP_192.168.0.150,192.168.0.150/32,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Allow,Yes,170421171815,0,0,0,0,0,No,,,No,,,0,1500,,No,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,26
,,,,,,,,,,,,ADDR,,,DDNAS_192.168.0.250,192.168.0.250/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ADDR,,,FILESVR_192.168.0.50,192.168.0.50/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ADDR,,,INT_SUB_ALL,192.168.10.0/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Yes,AGRP,³»ºÎ¸Á,>,192.168.0.0/24,192.168.0.0/24,,,,,,ADDR,,,all,0.0.0.0/0,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Allow,Yes,DEFAULT_ALLOW,4378,1364942,5985119,6599134,6599134,No,,,No,,,0,1500,,No,,No,default,No,TeamViewer,No,TeamViewer,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,16
12,Yes,AGRP,³»ºÎ¸Á,>,192.168.0.0/24,192.168.0.0/24,,,,,,ADDR,,,INT_SUB_ALL,192.168.10.0/24,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Allow,Yes,211117094352,0,1,171,171,171,No,,,No,,,0,1500,,Yes,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,67
13,Yes,ADDR,,,all,0.0.0.0/0,,,,,,ADDR,,,all,0.0.0.0/0,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Deny,Yes,UTM_DEFAULT,1627,107238,348622,668906,1056381,No,,,No,,,0,1500,Default deny rule,No,,No,default,No,default,No,,No,,No,,No,No,,,No,,No,180,No,No,,No,300,1
